,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_short_square,has_burst,has_delay,has_pause,input_resistance_mohm,latency,peak_t_long_square,peak_t_short_square,peak_v_long_square,peak_v_short_square,ri,sag,specimen_id,tau,threshold_i_long_square,threshold_i_short_square,threshold_t_long_square,threshold_t_short_square,threshold_v_long_square,threshold_v_short_square,trough_t_long_square,trough_t_short_square,trough_v_long_square,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_short_square,vrest,species,cre_line,dendrite_type,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
8,0.223863652245072,1.19024,1.02536333333333,-44.937503814697294,-47.3958333333333,False,False,False,144.8491155,0.0730650000000002,1.18626,1.02346666666667,16.9375019073486,19.2083339691162,235.000044107437,0.0531514026224613,479013100,27.5312816033045,70.0,593.333292643229,1.185735,1.02303166666667,-36.53125,-39.3645846048991,1.212125,1.8065099999999998,-50.875,-76.7916692097982,2.99279264993828,2.70695086869369,-75.32037353515621,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_3,Spiny_7,ME_Exc_15,176.909187120959,341.76140236489,3.05757172357999,0.0
9,0.636671140487009,1.7291,1.023988,-60.968753814697294,-66.85625305175779,False,False,False,124.287976,0.49862,1.72838,1.023368,11.25,24.950001525878896,46.562422066927006,0.0388247482478619,567952169,4.3632007181549595,750.0,930.0,1.7279799999999998,1.023076,-32.28125,-48.65000381469729,1.7291599999999998,1.29864,-61.031253814697294,-79.62500305175779,0.9872044817267801,1.29499636884574,-79.5200424194336,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_12,Aspiny_8,ME_Inh_16,135.740550830503,239.642352759168,2.66572833029,0.0
18,0.286191533220433,1.0601399999999999,1.02522,-47.53125,-51.0546903610229,False,False,False,359.028768,0.0124600000000001,1.0584200000000001,1.023515,39.09375,48.757814407348604,274.687588214874,0.0949059501290321,582644266,13.4796687810596,60.0,249.99998474121102,1.05796,1.02315,-37.96875,-38.9296894073486,1.06026,1.631545,-47.593753814697294,-69.4218769073486,3.78268543310503,4.01563289110855,-68.89718627929689,Mus musculus,Chat-IRES-Cre-neo,aspiny,Inh_3,Aspiny_14,ME_Inh_3,243.025289556234,331.885084381218,3.13390925631,9.91847573214
30,0.151066355936711,1.09572,1.02525,-49.406253814697294,-57.390628814697294,False,False,False,238.458944,0.0335000000000001,1.09356,1.02326,32.0,35.3281269073486,239.843934774399,0.12460410594940198,501799874,14.290159286403,170.0,370.0,1.0929799999999998,1.0227700000000002,-36.21875,-51.484378814697294,1.11184,1.18828,-50.96875,-78.9062538146973,2.32016203447269,2.93691452000083,-83.0187683105469,Mus musculus,Ctgf-T2A-dgCre,spiny,Exc_2,Spiny_18,ME_Exc_3,228.186362593615,802.255944279745,3.13457444569999,13.3583906913
34,0.0950757729011025,1.10168,1.025875,-48.125003814697294,-56.742191314697294,False,False,False,165.04521599999998,0.037860000000000005,1.09924,1.0237049999999999,29.59375,37.5859394073486,120.624959468842,0.117600135505199,497611660,12.644906091468401,350.0,989.9999389648441,1.09854,1.02315,-31.40625,-50.4062528610229,1.1019,1.12937,-48.312503814697294,-80.87500572204591,2.1210345545921903,2.39700535822393,-80.4029312133789,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_2,Spiny_18,ME_Exc_3,195.372113363967,769.788153051168,3.95102209618,14.5461876904
35,0.0531630740393627,1.1990399999999999,1.02443333333333,-54.593753814697294,-56.750003814697294,False,False,False,302.033856,0.0222200000000001,1.19812,1.02348,32.84375,35.3541692097982,287.343800067902,0.155002474784851,535708196,20.2264349204458,40.0,300.0,1.1977200000000001,1.0231,-40.0000038146973,-47.4583333333333,1.74374,1.9308266666666698,-57.1875,-70.156255086263,1.7839550343455601,1.86110792567326,-69.8161087036133,Mus musculus,Vip-IRES-Cre,aspiny,Inh_2,Aspiny_16,ME_Inh_3,240.160688921559,285.098731750551,3.06011775643,11.309932474
39,0.8286866359446999,1.04596,1.024035,-52.281253814697294,-57.105470657348604,False,False,False,186.58470400000002,0.00992000000000015,1.04512,1.0232675,25.40625,35.5585956573486,124.47928637266199,0.00506978156045079,586073683,6.909510338969281,270.0,540.0,1.0447799999999998,1.02295,-33.09375,-47.4218773841858,1.0460399999999999,1.4819125,-52.468753814697294,-76.55078697204591,1.5665571333784198,1.71351831364238,-76.3922348022461,Mus musculus,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny,Inh_2,Aspiny_17,ME_Inh_21,177.829571462933,116.409414393414,2.27326458980999,10.5394933107
49,0.12464030169113001,1.156475,1.0255275,-42.0000038146973,-46.335939407348604,False,False,False,106.45978400000001,0.061110000000000005,1.1535600000000001,1.0235425,32.53125,27.156250953674302,113.28125,0.0900440961122513,478888052,19.3525924192435,110.0,1280.0,1.153065,1.0231125,-34.6875,-42.6562519073486,1.21095,1.2625375,-52.5625,-72.7656288146973,3.1196650563734702,3.0684487083886003,-72.3885116577148,Mus musculus,Scnn1a-Tg2-Cre,spiny,Exc_3,Spiny_12,ME_Exc_13,210.457810387014,549.781639862314,2.67198688945,2.24617395567
51,0.136552220174497,1.275455,1.025401,-44.96875,-48.7375015258789,False,False,False,149.066784,0.054529999999999995,1.2736049999999999,1.023547,30.8125019073486,23.762501525878896,118.08037757873501,0.0944587662816048,487664663,16.177671832898902,50.0,630.0,1.2731299999999999,1.0231139999999999,-40.8125038146973,-47.4000022888184,1.443175,1.682607,-56.343753814697294,-68.5937545776367,2.9693590103967704,3.01403181074077,-68.41317749023439,Mus musculus,Rbp4-Cre_KL100,spiny,Exc_3,Spiny_14,ME_Exc_1,173.262492555167,619.574184265374,1.46258503401,11.4302040808
54,0.6626750999611031,1.35386,1.02472,-50.96875,-56.640626907348604,False,False,False,193.89633600000002,0.0679400000000001,1.35266,1.02345,25.40625,31.8281264305115,99.6874645352364,0.0246525760740042,554807924,5.98746427347818,200.0,690.0,1.35226,1.023105,-32.28125,-40.867188453674295,1.3548799999999999,1.402855,-51.6875,-73.546875,1.60000722518186,1.6572989591418201,-73.3259658813477,Mus musculus,Nkx2-1-CreERT2,aspiny,Inh_13,Aspiny_7,ME_Inh_16,225.098976589501,160.103891814507,2.61508425428,3.54200070221999
