,predicted dendrite,real dendrite,ephys predicted creline,ephys me-type predictions,ephys m-type predictions,ephys e-type predictions,specimen_id,morph me-type predictions,morph m-type predictions,morph e-type predictions,ephys and morph me-type predictions,ephys and morph m-type predictions,ephys and morph e-type predictions
0,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,529878215,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
1,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,548459652,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_4
2,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,569095789,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
3,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,528706755,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
4,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,508279351,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
5,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,643582610,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_4
6,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,530097064,,,,,,
7,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,529909601,,,,,,
8,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,569820026,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_2
9,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,542137330,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_2
10,aspiny,sparsely spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,596887423,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
11,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,548473245,,,,,,
12,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,519877177,,,,,,
13,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,643589588,,,,,,
14,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,505692551,,,,,,
15,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,539537094,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_11,Inh_11
16,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,539578371,,,,,,
17,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,576107598,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
18,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,529988200,,,,,,
19,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,541566142,,,,,,
20,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,571471295,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
21,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,611610514,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
22,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,613468354,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_4
23,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,527942865,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_4
24,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,545227537,,,,,,
25,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,571709783,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
26,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,571520182,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
27,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,528016025,,,,,,
28,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,508421103,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
29,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,528642047,,,,,,
30,aspiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,539537652,,,,,,
31,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,541551399,,,,,,
32,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,571473428,,,,,,
33,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,526725807,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
34,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,596052605,ME_Inh_25,Spiny_14,Exc_3,ME_Inh_22,Spiny_14,Inh_4
35,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,571700636,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_4
