,predicted dendrite,real dendrite,ephys predicted creline,real creline,real e-type,ephys e-type predictions,real m-type,real me-type,ephys m-type predictions,ephys me-type predictions,specimen_id,morph me-type predictions,morph m-type predictions,morph e-type predictions,ephys and morph me-type predictions,ephys and morph m-type predictions,ephys and morph e-type predictions
0,aspiny,aspiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,579978640,,,,,,
1,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,439024551,,,,,,
2,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,515188639,,,,,,
3,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Inh_11,Exc_1,,,Spiny_1,ME_Exc_7,561515555,,,,,,
4,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,561532476,,,,,,
5,aspiny,aspiny,Chrna2-Cre_OE25,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,593253205,,,,,,
6,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Exc_3,Inh_6,Spiny_7,ME_Exc_15,Spiny_1,ME_Exc_7,395785266,,,,,,
7,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_12,Exc_1,Aspiny_8,ME_Inh_16,Spiny_1,ME_Exc_7,570589704,,,,,,
8,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_13,Inh_6,,,Spiny_1,ME_Exc_7,479013100,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
9,aspiny,aspiny,Esr2-IRES2-Cre,Pvalb-IRES-Cre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,567952169,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
10,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_9,Exc_1,,,Spiny_1,ME_Exc_7,488440436,,,,,,
11,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_2,Exc_1,,,Spiny_1,ME_Exc_7,477278032,,,,,,
12,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,501566512,,,,,,
13,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,574377603,,,,,,
14,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Inh_3,Exc_1,Aspiny_14,ME_Inh_3,Spiny_1,ME_Exc_7,560924223,,,,,,
15,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_6,Exc_1,,,Spiny_1,ME_Exc_7,482444444,,,,,,
16,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_9,Inh_6,,,Spiny_1,ME_Exc_7,385492488,,,,,,
17,aspiny,aspiny,Chrna2-Cre_OE25,Gad2-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,464326210,,,,,,
18,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_2,Inh_5,,,Spiny_15,ME_Inh_24,464198958,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_4
19,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,,,Spiny_15,ME_Exc_7,582644266,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
20,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,510946335,,,,,,
21,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,478412623,,,,,,
22,aspiny,aspiny,Chrna2-Cre_OE25,Gad2-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,323523338,,,,,,
23,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_2,Exc_1,Spiny_18,ME_Exc_3,Spiny_1,ME_Exc_7,487638658,,,,,,
24,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_8,Inh_5,,,Spiny_1,ME_Exc_7,490789494,,,,,,
25,spiny,spiny,Chrna2-Cre_OE25,Sim1-Cre_KJ18,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,626159623,,,,,,
26,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,486146828,,,,,,
27,spiny,spiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_2,Exc_1,Spiny_18,ME_Exc_3,Spiny_1,ME_Exc_7,564677541,,,,,,
28,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_2,Inh_6,Aspiny_16,ME_Inh_3,Spiny_1,ME_Exc_7,515202564,,,,,,
29,spiny,sparsely spiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,565106612,,,,,,
30,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,586070820,,,,,,
31,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_2,Inh_6,Aspiny_17,ME_Inh_21,Spiny_1,ME_Exc_7,500961697,,,,,,
32,aspiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,501799874,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
33,aspiny,aspiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Inh_11,Exc_1,,,Spiny_1,ME_Exc_7,564409183,,,,,,
34,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Inh_5,,,Spiny_15,ME_Exc_7,576768088,,,,,,
35,aspiny,aspiny,Chrna2-Cre_OE25,Gad2-IRES-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,594480606,,,,,,
36,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_2,Exc_1,,,Spiny_1,ME_Exc_7,497611660,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_4
